Country,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,defense_budget_usd,external_debt_usd,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,total_population,available_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,tanks,self_propelled_artillery,towed_artillery,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,coastal_patrol_craft,mine_warfare_craft,oil_production_bbl,oil_consumption_bbl,natural_gas_production_cum,natural_gas_consumption_cum,coal_production_cum,coal_consumption_mt,labour_force,total_merchant_marine_fleet,major_ports_and_terminals,total_serviceable_airports,roadway_coverage_km,railway_coverage_km
Germany,5247000000000,377936000000,127400090000,6862470230000,357022,2389,3694,7300,84119100,0,8,0,2,0,0,427,95,47,41,12,20,2,37,222,101,0,0,0,0,11,6,6,54,12,131000,2062000,4824000000,77516000000,109741000,140994000,43772000,595,35,840,830000,39379
Indonesia,4102000000000,155708000000,11155297716,225273000000,1904569,54716,2958,21579,281562465,0,7,7,1,1,1,299,27,22,47,74,10,1,10,215,99,257,0,0,0,10,26,4,211,10,865000,1645000,57410000000,36061000000,783453000,281159000,143144000,11422,123,556,496607,8159
Pakistan,1390000000000,18408000000,9102115350,89148000000,796095,1046,7257,0,252363571,0,0,9,3,2,2,908,215,59,41,366,18,3,36,1740,430,1709,0,0,0,9,6,8,79,3,91000,645000,36937000000,46448000000,13765000,30191000,83644000,60,3,117,264175,11881
Israel,472177000000,214544000000,34600000000,163350000000,21937,273,1068,0,9402617,0,9,4,8,9,4,478,191,36,11,118,15,10,38,1040,258,137,0,0,0,0,7,6,66,0,15000,219000,22886000000,11510000000,0,5297000,4710000,41,5,40,20391,1497
Iran,1486000000000,120600000000,9230000000,6759000000,1648195,2440,5894,850,88386937,0,0,6,7,4,2,303,103,12,47,57,6,3,7,1605,254,1082,0,0,0,7,3,25,21,1,4112000,2415000,263280000000,244890000000,2209000,3032000,28575000,965,18,177,223485,8484
Australia,1635000000000,60404000000,57350000000,3770254730000,7741220,25760,145,2000,26768598,0,4,1,2,1,0,261,18,53,28,80,23,5,17,35,0,36,0,2,3,7,0,6,13,3,386000,1151000,153783000000,50188000000,445077000,95667000,14912000,604,66,2257,873573,32606
Spain,2361000000000,107774000000,39000676350,2830012130000,505370,4964,1953,1000,47280433,0,3,7,3,1,2,286,88,8,33,70,5,0,11,209,67,132,1,0,0,11,0,2,112,6,47000,1325000,41009000,32833000000,1280000,7388000,24386000,503,52,365,150110,15489
Egypt,1958000000000,44921000000,5193500000,117272000000,1001450,2450,2612,3500,111247248,0,4,5,4,4,3,707,157,59,34,224,7,0,65,2534,739,673,0,2,0,13,7,8,61,17,667000,830000,64817000000,60089000000,69000,3262000,33749000,441,31,73,65050,5085
Ukraine,577583000000,43781000000,45000000000,90003000000,603550,2782,5581,1672,35661826,0,7,1,5,2,3,191,48,17,12,40,3,0,21,729,443,406,0,0,0,0,0,0,133,5,3000,192000,18725000000,22856000000,19603000,25012000,20539000,410,26,152,169694,21733
Poland,1649000000000,223115000000,55865141600,425641700000,312685,440,2845,3997,38746310,0,2,2,6,9,1,297,38,8,29,73,7,0,19,519,385,0,0,0,0,2,2,1,3,29,24000,743000,5551000000,20056000000,96720000,99932000,18245000,152,10,318,427580,19461
Taiwan,1743000000000,541898500000,31180000000,229900000000,35980,1566,145,0,23595274,0,5,3,0,0,2,504,181,0,13,151,13,0,64,709,317,884,0,0,4,21,7,4,36,10,800,954000,63747000,21157000000,5212000,64609000,11842940,465,8,57,43206,1613
Vietnam,1456000000000,83082000000,10200000000,34426000000,331210,3444,4616,47130,105758975,0,6,7,4,7,2,146,34,0,3,50,2,0,0,1199,18,1950,0,0,0,9,17,6,27,8,187000,544000,7676000000,7676000000,51519000,96099000,57133000,1973,16,36,195468,2600
Thailand,1558000000000,236934000000,6006660000,37065000000,513120,3219,5673,4000,69920998,0,0,6,5,3,0,298,44,16,31,80,15,0,4,484,38,387,0,1,0,7,5,0,254,5,386000,1397000,30797000000,48898000000,12812000,42371000,40623000,884,21,105,180053,4127
Saudi Arabia,2213000000000,463870000000,63988055520,248171000000,2149690,2640,4272,0,36544431,0,8,7,7,0,4,596,184,53,32,131,10,14,22,705,247,362,0,0,0,7,9,0,9,3,11174000,3524000,121870000000,121870000000,0,66000,17168000,433,16,90,221372,5410
Sweden,668628000000,62569000000,15900000000,1102693570000,450295,3218,2211,2052,10589835,0,6,0,2,3,0,129,55,0,5,27,2,1,0,83,18,0,0,0,0,0,7,4,116,8,11000,270000,0,889924000,1042000,3170000,5699000,361,92,206,197964,10910
Algeria,722912000000,83007000000,25000000000,4764000000,2381740,998,6734,0,47022473,0,8,6,3,3,3,403,72,27,41,59,7,3,48,965,146,314,0,0,0,8,8,6,75,3,1443000,446000,100726000000,47963000000,0,3000,13294000,119,17,95,112696,4020
